accession_number,isXBRL,cost_of_goods_sold,operating_expenses,operating_income,earnings_per_share_basic,earnings_per_share_diluted,pretax_income,net_income,income_taxes,interest_expense,revenue,sga_expenses,accounts_payable,accounts_receivable,current_liabilities,noncurrent_liabilities,property_plant_and_equipment_net,assets,noncurrent_assets,current_assets,short_term_investments,long_term_debt,cash_and_cash_equivalents,liabilities,inventory,cash_end_of_period,depreciation_and_amortization,net_cash_from_financing_activities,net_cash_from_operating_activities,net_cash_from_investing_activities,capital_expenditures,stockholders_equity,goodwill,gross_profit,accumulated_other_comprehensive_income
0000092122-20-000017,1,,UtilitiesOperatingExpenseMaintenanceAndOperations,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,IncomeTaxExpenseBenefit,ProfitLoss,NonoperatingIncomeExpense,InterestAndDebtExpense,RevenueFromContractWithCustomerIncludingAssessedTax,,InterestPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,UnamortizedLossReacquiredDebtNoncurrent,AssetsCurrent,LongTermInvestments,LongTermInvestments,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,OtherInventorySupplies,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,DepreciationAmortizationAndAccretionNet,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0000092122-21-000006,1,,UtilitiesOperatingExpenseMaintenanceAndOperations,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,IncomeTaxExpenseBenefit,ProfitLoss,NonoperatingIncomeExpense,InterestAndDebtExpense,Revenues,,InterestPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,UnamortizedLossReacquiredDebtNoncurrent,AssetsCurrent,LongTermInvestments,LongTermInvestments,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,OtherInventorySupplies,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,DepreciationAmortizationAndAccretionNet,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0000766421-11-000020,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,TotalCashAndMarketableSecurities,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,OtherNoncashExpense,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0000766421-12-000018,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,MarketableSecuritiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0000766421-13-000010,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,MarketableSecuritiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0000766421-14-000010,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SpecialRevenue,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,MarketableSecuritiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0000766421-15-000009,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SpecialRevenue,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,MarketableSecuritiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,SaleLeasebackTransactionNetProceedsFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0000766421-16-000065,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,RegionalCarrierExpense,SpecialRevenue,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,MarketableSecuritiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0000766421-17-000016,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,RegionalCarrierExpense,SalesRevenueNet,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,MarketableSecuritiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000766421-18-000015,1,FoodAndBeverageCostOfSales,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,SpecialTaxExpenseBenefit,OperatingIncomeLoss,SpecialTaxExpenseBenefit,RegionalCarrierExpense,SalesRevenueNet,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000766421-19-000008,1,CostOfServicesCatering,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,SpecialTaxExpenseBenefit,OperatingIncomeLoss,SpecialTaxExpenseBenefit,RegionalCarrierExpense,Revenues,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000766421-20-000013,1,CostOfServicesCatering,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,SpecialTaxExpenseBenefit,OperatingIncomeLoss,SpecialTaxExpenseBenefit,RegionalCarrierExpense,Revenues,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000766421-21-000018,1,CostOfServicesCatering,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,RegionalCarrierExpense,Revenues,SellingExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashCashEquivalentsAndShortTermInvestments,StockholdersEquity,InventoryNet,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,OtherOperatingActivitiesCashFlowStatement,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0001193125-10-267609,1,CostOfGoodsSold,,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,InterestIncomeExpenseNet,InterestIncomeExpenseNet,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,ReceivablesNetCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,OtherLiabilitiesNoncurrent,AssetsCurrent,LongTermInvestments,LongTermInvestments,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryWorkInProcess,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,Depreciation,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,
0000003453-11-000006,1,CostOfRealEstateRevenue,OperatingLeasesIncomeStatementLeaseRevenue,OtherNonoperatingIncome,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,ProceedsFromInsuranceSettlementOperatingActivities,ProceedsFromInsuranceSettlementInvestingActivities,,StockholdersEquity,,,
0000003453-12-000026,1,CostOfRealEstateRevenue,LogisticsServices,OtherNonoperatingIncome,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,CapitalExpendituresIncurredButNotYetPaid,StockholdersEquity,,,
0001104659-13-016637,1,,OperatingCostsAndExpenses,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OtherComprehensiveIncomeLossNetOfTax,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,CapitalExpendituresAndDryDockingIncurredButNotYetPaid,StockholdersEquity,,,
0001104659-14-014819,1,,OperatingCostsAndExpenses,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OtherComprehensiveIncomeLossNetOfTax,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,CapitalExpendituresIncurredButNotYetPaid,StockholdersEquity,,,
0001104659-15-014988,1,,OperatingCostsAndExpenses,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OtherComprehensiveIncomeLossNetOfTax,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,CapitalExpendituresIncurredButNotYetPaid,StockholdersEquity,,,
0001104659-16-100342,1,,OperatingCostsAndExpenses,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,CapitalExpendituresAndDryDockingIncurredButNotYetPaid,StockholdersEquity,Goodwill,,
0001558370-17-000947,1,,OperatingCostsAndExpenses,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,RestrictedCashAndCashEquivalents,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessTwoNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,CapitalExpendituresAndDryDockingIncurredButNotYetPaid,StockholdersEquity,Goodwill,,
0001558370-18-001004,1,,OperatingCostsAndExpenses,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,LiabilitiesCurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessTwoNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,CapitalExpendituresAndDryDockingIncurredButNotYetPaid,StockholdersEquity,Goodwill,,
0001558370-19-001448,1,,CostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerExcludingAssessedTax,SellingGeneralAndAdministrativeExpense,DebtCurrent,ReceivablesNetCurrent,LiabilitiesCurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessTwoNetOfCashAcquired,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,CapitalExpendituresAndDryDockingIncurredButNotYetPaid,StockholdersEquity,Goodwill,,
0001558370-20-001757,1,,CostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerExcludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableAndAccruedLiabilitiesCurrent,ReceivablesNetCurrent,OtherLiabilitiesNoncurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,NetCashProvidedByUsedInOperatingActivities,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,CapitalExpendituresAndDryDockingIncurredButNotYetPaid,StockholdersEquity,Goodwill,,
0001558370-21-001909,1,,CostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerExcludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableAndAccruedLiabilitiesCurrent,ReceivablesNetCurrent,OtherLiabilitiesNoncurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,NetCashProvidedByUsedInOperatingActivities,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,CapitalExpendituresAndDryDockingIncurredButNotYetPaid,StockholdersEquity,Goodwill,,
0000003499-12-000005,1,,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestAndDebtExpense,RealEstateRevenueNet,GeneralAndAdministrativeExpense,NotesAndLoansPayable,AllowanceForDoubtfulAccountsReceivable,OtherLiabilities,OtherLiabilities,,Assets,Assets,,OtherShortTermInvestments,,RestrictedCashAndCashEquivalents,StockholdersEquity,,OtherNoncashIncomeExpense,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000003499-13-000006,1,,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,ProfitLoss,IncomeTaxExpenseBenefit,InterestAndDebtExpense,RealEstateRevenueNet,GeneralAndAdministrativeExpense,NotesPayable,AllowanceForDoubtfulAccountsReceivable,OtherLiabilities,OtherLiabilities,,Assets,Assets,,OtherShortTermInvestments,,RestrictedCashAndCashEquivalents,StockholdersEquity,,OtherNoncashIncomeExpense,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
